Date,IDEX
1/23/2019,1.29
1/24/2019,1.25
1/25/2019,1.25
1/28/2019,1.22
1/29/2019,1.19
1/30/2019,1.17
1/31/2019,1.2
2/1/2019,1.19
2/4/2019,1.2
2/5/2019,1.15
2/6/2019,1.17
2/7/2019,1.13
2/8/2019,1.15
2/11/2019,1.2
2/12/2019,1.19
2/13/2019,1.18
2/14/2019,1.15
2/15/2019,1.23
2/19/2019,1.59
2/20/2019,2.07
2/21/2019,1.76
2/22/2019,1.97
2/25/2019,1.88
2/26/2019,1.9
2/27/2019,1.89
2/28/2019,1.92
3/1/2019,1.78
3/4/2019,1.84
3/5/2019,1.92
3/6/2019,1.79
3/7/2019,1.63
3/8/2019,1.6
3/11/2019,1.59
3/12/2019,1.54
3/13/2019,1.62
3/14/2019,1.64
3/15/2019,1.6
3/18/2019,1.77
3/19/2019,2.04
3/20/2019,1.89
3/21/2019,1.8
3/22/2019,1.8
3/25/2019,2.02
3/26/2019,1.87
3/27/2019,1.96
3/28/2019,2.05
3/29/2019,1.94
4/1/2019,1.9
4/2/2019,1.93
4/3/2019,1.86
4/4/2019,1.85
4/5/2019,1.89
4/8/2019,1.97
4/9/2019,1.98
4/10/2019,1.9
4/11/2019,1.87
4/12/2019,1.9
4/15/2019,1.85
4/16/2019,1.83
4/17/2019,1.87
4/18/2019,1.9
4/22/2019,1.91
4/23/2019,1.88
4/24/2019,1.86
4/25/2019,1.82
4/26/2019,1.84
4/29/2019,1.85
4/30/2019,1.5
5/1/2019,1.42
5/2/2019,1.58
5/3/2019,1.67
5/6/2019,1.78
5/7/2019,1.56
5/8/2019,1.69
5/9/2019,1.67
5/10/2019,1.65
5/13/2019,1.73
5/14/2019,1.68
5/15/2019,1.68
5/16/2019,1.65
5/17/2019,1.6
5/20/2019,1.55
5/21/2019,1.58
5/22/2019,1.52
5/23/2019,1.43
5/24/2019,1.4
5/28/2019,1.35
5/29/2019,1.39
5/30/2019,1.37
5/31/2019,1.33
6/3/2019,1.28
6/4/2019,1.32
6/5/2019,1.29
6/6/2019,1.45
6/7/2019,1.58
6/10/2019,1.87
6/11/2019,1.84
6/12/2019,1.83
6/13/2019,1.81
6/14/2019,1.9
6/17/2019,1.94
6/18/2019,1.92
6/19/2019,1.9
6/20/2019,1.82
6/21/2019,1.78
6/24/2019,1.87
6/25/2019,1.77
6/26/2019,1.96
6/27/2019,2.17
6/28/2019,2.46
7/1/2019,2.59
7/2/2019,2.44
7/3/2019,2.36
7/5/2019,2.37
7/8/2019,2.8
7/9/2019,2.58
7/10/2019,2.58
7/11/2019,2.47
7/12/2019,2.3
7/15/2019,2.21
7/16/2019,1.7
7/17/2019,1.66
7/18/2019,1.64
7/19/2019,1.66
7/22/2019,1.83
7/23/2019,1.84
7/24/2019,1.82
7/25/2019,1.72
7/26/2019,1.73
7/29/2019,1.85
7/30/2019,1.94
7/31/2019,1.9
8/1/2019,1.86
8/2/2019,1.83
8/5/2019,1.8
8/6/2019,1.82
8/7/2019,1.84
8/8/2019,1.98
8/9/2019,1.93
8/12/2019,1.99
8/13/2019,1.93
8/14/2019,1.78
8/15/2019,1.77
8/16/2019,1.75
8/19/2019,1.71
8/20/2019,1.67
8/21/2019,1.67
8/22/2019,1.62
8/23/2019,1.55
8/26/2019,1.63
8/27/2019,1.55
8/28/2019,1.51
8/29/2019,1.61
8/30/2019,1.6
9/3/2019,1.72
9/4/2019,1.68
9/5/2019,1.65
9/6/2019,1.59
9/9/2019,1.6
9/10/2019,1.52
9/11/2019,1.61
9/12/2019,1.61
9/13/2019,1.62
9/16/2019,1.63
9/17/2019,1.73
9/18/2019,1.68
9/19/2019,1.68
9/20/2019,1.62
9/23/2019,1.48
9/24/2019,1.46
9/25/2019,1.51
9/26/2019,1.53
9/27/2019,1.49
9/30/2019,1.51
10/1/2019,1.51
10/2/2019,1.51
10/3/2019,1.52
10/4/2019,1.52
